T(K),P(kPa)
273.2,2641
280.9,5847
286.5,10632
286.7,10804
259,1648
273.2,2641
273.7,2765
274.3,2903
275.4,3241
275.9,3420
275.9,3427
277,3813
279.3,4771
280.4,5350
280.9,5709
281.5,6060
282.6,6771
284.3,8122
285.9,9784
262.4,1793
264.2,1903
266.5,2082
268.6,2220
270.9,2392
295.7,33991
295.9,35301
301,64811
302,77497
244.2,101
273.2,2634
285.7,9618
286.3,10308
286.1,10101
285.7,9618
289,13962
292.1,21132
295.9,34750
298.7,48677
300.9,62398
301.6,68086
290.2,15927
290.5,15941
295.2,29992
295.1,29923
295.8,33750
298,44313
298.2,43782
300.2,56916
301.5,65431
301.6,65431
306.7,110833
310.3,152719
312.7,187296
313.7,206339
314.2,223907
283.2,7102
283.2,7115
288.7,13114
288.7,13107
273.15,2620.1
260.9277778,1737.54
249.8166667,1185.94
241.4833333,896.35
274.6,3020
278.59,4385
285.39,9191
288.45,13045
291.16,18554
148.8,5.33
159.9,12.13
168.8,21.06
178.2,42
191.3,90.13
279.59,6964
280.02,7067
265.76,7012
265.65,7033
249.98,6902
249.96,6902
277.32,10301
277.18,10239
266.07,10190
265.93,10273
249.68,10232
249.26,10439
284.45,8099
282.55,6632
278.95,4293
278.35,3890
275.4,3032
274.75,2688
273.4,2680
274.6,3050
276.7,3720
278.3,4390
279.6,5020
280.9,5770
282.3,6650
283.6,7590
284.7,8550
285.7,9170
286.4,10570
273.43,2780
274.9,3000
277.95,4200
280.55,5600
283.25,7500
284.85,9000
276.1,3450
277.9,4210
280.2,5170
281.9,6210
283.4,7310
284.5,8340
285.4,9580
190.15,82.51
198.15,131.4
208.15,221.9
218.15,357.1
243.15,995
262.4,1798
287,8000
296.6,37000
300.8,59000
303.6,84000
307.2,117000
308.7,133000
310.7,162000
311,166000
313.9,216000
315.6,242000
318.4,317000
319.1,358000
320.1,405000
320.4,443000
320.4,450000
322.9,707000
324,731000
325.2,786000
325,806000
325.4,814000
325.2,840000
325.6,864000
325.7,874000
326.1,902000
326.4,956000
326.7,983000
326.8,1000000
274.6,3021
277.4,4092
280.05,5401
280.55,5626
283.3,7426
285.25,9330
285.35,9350
274.2,2960
275.2,3270
276.2,3620
277.4,3960
278.3,4270
279.4,4760
280.3,5350
281.3,5880
282.3,6440
283.3,7220
284.2,8060
285.2,8960
278.15,4200
283.75,6800
284.85,8600
285.15,8600
286.35,9900
287.25,11600
290.25,16800
291.15,18600
273.49,2716
274.36,2961
275.11,3180
276.29,3564
277.46,3998
278,4244
278.25,4348
279.1,4733
280.16,5304
281.12,5822
281.38,6000
282.07,6428
283.04,7139
283.39,7430
284.01,7925
273,2482
276.2,3493
278.8,4426
279.9,5130
281.9,6205
284.5,8356
285.45,10000
285.75,10000
305.08,98000
307.13,119000
308.74,138000
310.29,158000
311.64,178000
312.92,199000
313.88,217000
314.83,237000
315.74,258000
316.5,277000
317.2,299000
318.29,335000
319.17,376000
319.8,414000
320.33,455000
276.5,3680
278.5,4190
279.7,4900
281.3,6070
282.2,6550
283,7130
283.8,7730
284.5,8330
285.8,9550
286.3,9660
259.1,1650
274.65,3266
275.15,3416
275.15,3416
278.15,4510
278.15,4510
280.15,5753
281.15,6361
274.65,3487
275.15,3887
275.15,3887
278.15,5087
278.15,5087
280.15,7087
281.15,7487
274.65,3187
275.15,3317
275.15,3317
278.15,4387
278.15,4387
280.15,5587
281.15,6213
278.1,4050
283.8,7410
289.4,14320
292.8,23110
294.7,29850
297.3,42220
298.6,48790
299.3,54710
300.6,62760
301.9,71430
302.1,72850
291.86,20190
293.08,22910
293.46,24230
295.08,30460
295.94,34280
297.48,43460
297.58,42350
298.24,45640
298.68,50450
301.67,65970
302.7,68720
303.48,72260
276.5,3680
278.5,4190
279.7,4900
281.3,6070
282.2,6550
283,7130
283.8,7730
284.5,8330
285.8,9550
286.3,9660
268.4,2324
271.28,2527
268.44,2338
271.28,2513
275,3700
281.2,5730
283.6,7330
284,7680
278.85,4729.76
274.25,2920
275.25,3220
276.22,3550
277.24,3920
278.24,4330
279.23,4790
280.24,5310
281.24,5890
281.73,6200
282.23,6530
282.73,6880
283.25,7250
283.74,7650
284.26,8100
284.76,8550
280.5,5426
283.7,7584
285.7,9584
286.4,10342
289.9,15837
274.6,3060
276.2,3446
290.6,17257
293.6,25841
295.8,34584
