P(kPa),T(K),xCH4
273.6,2990,0.1385
273.6,5040,0.1374
273.6,6370,0.1376
273.7,5040,0.1403
273.8,5000,0.1412
273.8,6380,0.1381
273.8,6890,0.1395
274,4910,0.1385
274.2,5920,0.1399
274.6,7190,0.1374
275.3,6130,0.1391
275.4,6130,0.1372
275.6,6040,0.1389
278.1,7810,0.1393
278.3,8080,0.1374
276.19,50000,0.00125
277.85,50810,0.0015
279.85,50980,0.00165
280.47,51260,0.00175
276.36,101000,0.00125
278.71,101730,0.0015
280.11,101880,0.00165
280.65,102430,0.00175
276.67,127100,0.00125
278.9,127220,0.0015
280.39,127350,0.00165
281.08,127450,0.00175
276.91,143100,0.00125
279.2,143620,0.0015
280.59,143250,0.00165
278.1,5790,0.00114
278.1,8120,0.00103
278.2,8890,0.00104
278.2,10440,0.00113
278.2,11180,0.00101
278.1,11530,0.00106
278.2,13760,0.00106
278.1,16020,0.001
278.1,16540,0.000953
278.1,19290,0.000954
278.1,19350,0.00096
273.1,4980,0.000775
273.1,5200,0.000751
273.1,7850,0.00077
273.1,8420,0.000776
274.15,6000,0.001264
274.15,10000,0.001202
274.15,15000,0.001157
274.15,20000,0.001106
278.15,6000,0.001452
278.15,10000,0.001414
278.15,15000,0.001362
278.15,20000,0.001322
282.15,10000,0.001687
282.15,15000,0.001621
282.15,20000,0.001583
286.15,15000,0.001826
286.15,20000,0.001799
278.65,3500,0.00119
280.45,3500,0.001102
281.55,5000,0.001524
282.65,5000,0.001357
283.25,6500,0.00172
284.35,6500,0.001681
274.35,3500,0.00117
275.45,3500,0.001203
274.15,5000,0.00119
277.35,5000,0.00136
275.25,6500,0.001201
280.15,6500,0.001567
276.25,3500,0.00124
279.65,5000,0.0016
282.05,6500,0.00185
276.19,50000,0.00125
277.85,50810,0.0015
279.85,50980,0.00165
280.47,51260,0.00175
276.36,101000,0.00125
278.71,101730,0.0015
280.11,101880,0.00165
280.65,102430,0.00175
276.67,127100,0.00125
278.9,127220,0.0015
280.39,127350,0.00165
281.08,127450,0.00175
276.91,143100,0.00125
279.2,143620,0.0015
280.59,143250,0.00165
276.2,5000,0.00133
277.9,5100,0.00159
279.9,5100,0.00175
280.5,5100,0.00186
276.4,10100,0.00133
278.7,10200,0.00159
280.1,10200,0.00175
280.7,10200,0.00186
276.7,12700,0.00133
278.9,12700,0.00159
280.4,12700,0.00175
281.1,12700,0.00186
276.9,14300,0.00133
279.2,14400,0.00159
280.6,14300,0.00175
