P(kPa),T(K),xClNa,xCH4O
7470,276,0.0188,0.0579
12800,280.4,0.0188,0.0579
19250,283.3,0.0188,0.0579
23190,284.6,0.0188,0.0579
33140,287.3,0.0188,0.0579
37750,288.1,0.0188,0.0579
45600,289.5,0.0188,0.0579
51650,290.5,0.0188,0.0579
61800,291.9,0.0188,0.0579
67610,292.9,0.0188,0.0579
2050,262.3,0.0188,0.0575
4050,269.4,0.0188,0.0575
6050,273.3,0.0188,0.0575
8050,275.7,0.0188,0.0575
10050,277.5,0.0188,0.0575
12050,279.1,0.0188,0.0575
14050,280.5,0.0188,0.0575
16050,281.5,0.0188,0.0575
7600,270.8,0.0175,0.1215
14360,276.2,0.0175,0.1215
22620,279.6,0.0175,0.1215
28390,280.9,0.0175,0.1215
35690,282.3,0.0175,0.1215
2050,258.4,0.0176,0.1214
4050,264.2,0.0176,0.1214
8050,270.1,0.0176,0.1214
10050,271.6,0.0176,0.1214
12050,273.3,0.0176,0.1214
14050,274.9,0.0176,0.1214
4050,258,0.0162,0.1902
